Site,LINO,KIAT,RED,GALL,ESC,PUBW,RES,TULA,PINE,PUBR,WING,WIPO,SJ,LSJ,SPR,PINER,HESH,KWAK
CS11,0,0,0,0,0,1,5,440,18,0,8,2,1022,163,2,4,4,0
CS12,0,0,0,0,1,2,11,222,25,2,22,0,957,128,3,1,12,16
CS144,0,0,0,0,0,0,2,161,27,0,2,0,678,172,6,9,28,62
CS195,0,3,0,0,0,5,1,63,8,0,5,1,234,38,10,6,3,2
CS40,0,0,0,0,1,0,1,115,6,0,6,0,225,25,0,0,5,1
LZ0219,0,0,0,0,1,4,7,9,0,3,8,3,1,0,0,0,0,0
LZ0280,0,0,1,0,0,1,12,2,0,2,10,3,6,0,0,0,0,0
LZ0367,30,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ0508,0,0,0,1,0,0,8,4,0,3,13,7,1,0,0,0,0,0
LZ0560,0,0,0,0,1,1,1,3,0,2,13,4,13,0,0,0,0,0
LZ1076,2,0,0,0,0,3,1,40,0,0,0,0,1,0,0,0,0,0
LZ1087,120,24,11,12,25,35,42,18,0,3,9,0,0,0,0,0,0,0
